source_path_or_pattern	coverage	status	final_stage	final_implementation	note
/vol2/zhuangziyang/mz_paper/scripts/run_*.sh	8 executed wrappers	merged	cre_submit_slurm	src/cre_pipeline/submit_stepwise_slurm.sh	Eight completed historical wrappers consolidated into one dependency-aware submitter with recorded resources.
/vol2/zhuangziyang/mz_paper/scripts/repro_E1_E9_reuse_existing/01_reclassify_E1_E9_from_existing.sh	single file	merged	cre_01_reclassify	src/cre_pipeline/01_reclassify_e1_e9.sh	Algorithm retained; project paths removed.
/vol2/zhuangziyang/mz_paper/scripts/repro_E1_E9_blank/03_G2_classified_hg38_to_hg19_E1_E9_blank.sh	single file	merged	cre_02_hg38_to_hg19	src/cre_pipeline/02_hg38_to_hg19.sh	Actually called shared implementation; tools and chain are configured.
/vol2/zhuangziyang/mz_paper/scripts/repro_E1_E9_blank/04_prepare_E5_hg19_all_E1_E9_blank.sh	single file	merged	cre_03_collect_e5	src/cre_pipeline/03_collect_e5_hg19.sh	Actually called shared implementation.
/vol2/zhuangziyang/mz_paper/scripts/repro_E1_E9_reuse_existing/02_reuse_human_TSR_E1_E9.sh	single file	merged	cre_04_reuse_human_tsr	src/cre_pipeline/04_reuse_human_tsr.sh	Reuse semantics retained; source and destination configured.
/vol2/zhuangziyang/mz_paper/scripts/repro_E1_E9_blank/06_G2_TSR_label_E1_E9_blank.sh	single file	merged	cre_05_label_tsr	src/cre_pipeline/05_label_cre_with_tsr.sh	Actually called shared implementation.
/vol2/zhuangziyang/mz_paper/scripts/repro_E1_E9_reuse_existing/03_reuse_sheep_projection_E1_E9.sh	single file	merged	cre_06_reuse_projection	src/cre_pipeline/06_reuse_sheep_projection.sh	Bytewise E5 sfCRE guard retained.
/vol2/zhuangziyang/mz_paper/scripts/repro_E1_E9_blank/08_G2_TSR_splited_E1_E9_blank.sh	single file	merged	cre_07_split_ldsc	src/cre_pipeline/07_split_ldsc_beds.sh	Actually called shared implementation.
/vol2/zhuangziyang/mz_paper/scripts/repro_E1_E9_blank/09_move_bed_E1_E9_blank.sh	single file	merged	cre_08_collect_gwas_beds	src/cre_pipeline/08_collect_gwas_beds.sh	Actually called shared implementation; final reuse work roots are configured.
/vol2/zhuangziyang/mz_paper/GWAS_E1E9_reuse_existing/scripts/00_move_bed.sh	single file	merged	cre_08_collect_gwas_beds	src/cre_pipeline/08_collect_gwas_beds.sh	Duplicate collection responsibility consolidated upstream.
/vol2/zhuangziyang/mz_paper/GWAS_E1E9_reuse_existing/scripts/prepare_E1E9_reuse_existing_recalc.sh	single file	merged	gwas_prepare	src/gwas_ldsc/prepare_E1E9_reuse_existing_recalc.sh	Paths configured and historical manifests normalized with explicit headers.
/vol2/zhuangziyang/mz_paper/GWAS_E1E9_reuse_existing/scripts/submit_E1E9_reuse_existing_152.sh	single file	broken	gwas_submit_slurm	src/gwas_ldsc/submit_E1E9_reuse_existing_152.sh	Historical headerless-manifest mismatch corrected; chunk IDs and final summary chain hardened.
