panel	previous_assignment	corrected_assignment	evidence
Figure 5a-5c	AS-site merging, motif-overlap and predicted-versus-observed ChromBPNet scripts.	Removed; no defensible supplied-code match.	The legend and submitted panel show a Circos distribution, functional-annotation enrichment and concordance with a published dataset.
Figure 5d	Included in an undifferentiated Figure 5d-5o folder.	Blocks 173, 174 and 177 from deeplearning.md.	These blocks calculate and plot paired enrichment for all AS versus ChromBPNet-significant AS variants.
Figure 3d	Only the 118-motif input-table preparation script.	Input preparation plus the author-pasted ComplexHeatmap R script.	The script clusters motifs and tissues and draws the heatmap and marginal count bars shown in the submitted panel.
Figure 3f	TOBIAS footprint scripts.	GERP profile workflow from deeplearning.md blocks 142-146.	The legend defines panel 3f as centered mean GERP conservation profiles.
Figure 3g	Brain-versus-gut CTCF comparison scripts.	ChromBPNet footprint export and TOBIAS corrected-footprint workflow.	The submitted panel shows thyroid CTCF#2 ChromBPNet and TOBIAS footprint profiles.
Figure 2b and 2f-2g	Figure 2b was absent, while target-gene connectivity and GO scripts were assigned to Figure 2g.	All are recorded as unmatched; no substitute scripts are included.	No VISTA code or tissue-specific EnhA enrichment code was supplied, and the previous GO scripts analyze enhancer-link connectivity groups for Extended Data Figure 3.
Figure 3b and Extended Data Figure 4b-4d	Two scripts were grouped under Figure 3b, and a generic track script was assigned to Extended Data Figure 4d.	Figure 3b retains only JSON metric extraction; observed-predicted correlation code moves to Extended Data Figure 4b-4c; the exact SNAP25 regional-count scripts map to 4d.	The Figure 3b panel uses extracted Pearson-r values, whereas Extended Data Figure 4 contains the accessibility correlation and SNAP25 count panels.
Figure 4d-4f	The same generic locus-track script was assigned to all three panels.	No exact match for the representative subnetworks, Sox3 logo or CDH10 locus command.	The legend defines 4d as subnetworks, 4e as a sequence logo and 4f as a genome-browser view.
Figure 4c	HOMER/FIMO versus ChromBPNet/Fi-NeMo overlap scripts.	ChromBPNet full-chain network-table compilation only.	The submitted panel summarizes ChromBPNet network node counts by tissue and does not show a comparison between motif-discovery methods.
Extended Data Figure 4a-4c	External-validation scripts grouped across all three panels.	Internal model-metric scripts for 4a and external-validation scripts for 4b-4c.	Panel 4a reports four held-out model metrics, whereas 4b-4c compare the study with Yan et al.
Supplementary Figure 14a-14j	General AS motif-overlap and enrichment scripts.	Removed; no defensible final-panel match.	The legend covers ten distinct AS summary analyses not reproduced by the previously assigned scripts.
Generic locus and local-association plots	Reusable plotters were copied into several specific panel folders.	Moved to Shared_Workflows and removed from panel mappings without exact commands.	The uploaded sources omit the submitted panels' exact regions, traits, sites or complete input tracks.
Figure 8	Only two coordinate-conversion scripts were grouped under Figure 8c-8d.	Replaced by the fully audited Figure 8 project: 8a coordinate projection, 8b emission heatmaps, 8c CRE classification, 8d composition, 8e conservation and 8f-8g GWAS/LDSC panels.	The updated package was checked against the submitted Figure 8 panels and the actual output functions.
Figure 2c	Methylation code was assigned to Supplementary Figure 8e and omitted E11 in the older plotting script.	Moved the complete workflow to Figure 2c, retained E1-E11 and added FASTQ, Bismark, state-summarization and output-validation steps.	The submitted Figure 2c displays DNA methylation across all eleven chromatin states.
Figure 2j-2k	Only a generic multi-track plotter was available and the Juicer processing workflow was absent.	Added the panel-specific sheep Juicer workflow, Hi-C QC, group-map generation, regional contact-matrix export and .hic validation under Figure 2j-2k.	The submitted panels display a chr6 Hi-C overview and the TMPRSS11A locus.
Figure 3e and Supplementary Figure 12a motif summary scripts	The final line contained adjacent save.image() and load() calls without a separator.	Separated the two calls onto valid R statements without changing their arguments.	R 4.4.1 parse() identified the exact syntax error; both duplicated scripts now parse.
Shared multi-tissue locus-track engine	The --track_h help string contained damaged adjacent quotes and could not be parsed by R.	Replaced only the help text with a valid English description; analysis logic and defaults are unchanged.	R 4.4.1 parse() now accepts the script.
