figure	panel	legend_content	status	reason
Extended_Data_Figure_04	04i-04j	GATA2 instance detail and PCDH9 neural-tissue tracks.	NO_EXACT_MATCH	No exact GATA2 instance-detail script or PCDH9 panel command was identified.
Extended_Data_Figure_05	05a-05b	SPINK13 locus and nervous-system regulatory subnetwork.	NO_EXACT_MATCH	The supplied generic track and network-table scripts do not reproduce these submitted layouts with exact panel parameters.
Extended_Data_Figure_05	05c	NEUROD1 contribution weight matrix sequence logo.	NO_MATCH	No supplied script specifically renders the submitted sequence logo.
Extended_Data_Figure_05	05d	Regulatory annotation of the CRX locus.	NO_EXACT_MATCH	The reusable track engine does not include the submitted CRX region or command.
Extended_Data_Figure_07	07	PIK3CD wool-scouring-rate GWAS and regulatory tracks.	NO_EXACT_MATCH	The supplied generic plotting engines do not include the exact PIK3CD command and complete track inputs.
Extended_Data_Figure_08	08a-08b	GAA and CAPN5 selected-variant annotations.	NO_EXACT_MATCH	The supplied generic plotting engines lack the exact eQTL commands and complete selection-track inputs.
Figure_02	02a	Eleven-state ChromHMM model and emission summary.	NO_MATCH	No supplied script specifically generates the submitted state-emission panel.
Figure_02	02b	VISTA enhancer validation across chromatin states.	NO_MATCH	No supplied VISTA-overlap or VISTA plotting code was identified.
Figure_02	02f	Numbers of tissue-specific EnhA elements across tissues.	NO_MATCH	No supplied script reproduces the submitted tissue-specific EnhA count plot.
Figure_02	02g	GO enrichment of target genes linked to tissue-specific EnhA elements.	NO_MATCH	The supplied target-gene connectivity GO scripts are a different analysis used in Extended Data Figure 3.
Figure_02	02h-02i	Motif and phenotype enrichment of tissue-specific EnhA elements.	NO_MATCH	No supplied scripts reproduce the submitted motif and phenotype enrichment heatmaps.
Figure_04	04d	Representative unresolved#12-SPINK13 and Sox3-CDH10 subnetworks.	NO_EXACT_MATCH	The supplied HOMER/deep-learning overlap scripts do not extract or render the two submitted representative subnetworks.
Figure_04	04e	Sequence logo of the Sox3 contribution weight matrix.	NO_MATCH	No supplied script specifically renders the submitted Sox3 CWM logo.
Figure_04	04f	Genome-browser view of the CDH10 locus.	NO_EXACT_MATCH	The reusable track engine does not include the submitted CDH10 region or command.
Figure_05	05a	Genome-wide distribution of allele-specific signals across assays.	NO_MATCH	No supplied script reproduces the submitted Circos-style genome-wide panel.
Figure_05	05b	Enrichment of allele-specific variants across functional genomic annotations.	NO_MATCH	The supplied motif-overlap scripts do not reproduce the submitted functional-annotation enrichment panel.
Figure_05	05c	Concordance of allelic effect sizes between this study and a published dataset.	NO_MATCH	The supplied predicted-versus-observed ChromBPNet code is not the independent-dataset concordance analysis.
Figure_05	05e	Enrichment of allele-specific signals across chromatin states.	NO_MATCH	No supplied script reproduces the assay-by-chromatin-state dot plot.
Figure_05	05m-05n	Enrichment of eQTLs, enQTLs and GWAS loci in allele-specific and non-allele-specific regulatory elements.	NO_MATCH	No supplied script reproduces the submitted molQTL and GWAS enrichment panels.
Figure_05	05o	Body-length GWAS, DCAF16 eQTL and regulatory tracks.	NO_EXACT_MATCH	The supplied association and track engines lack the exact panel-specific command lines and lower-track inputs.
Figure_06	06g	Regional GWAS and regulatory annotation panel.	NO_EXACT_MATCH	Only generic association and track engines were supplied; no exact submitted-panel invocation was identified.
Figure_07	07a-07b	Population comparisons and selected-region coding/non-coding composition.	NO_MATCH	No supplied script reproduces the submitted population-summary and region-composition panels.
Figure_07	07d	Candidate selection locus tracks.	NO_EXACT_MATCH	The reusable track engine lacks the submitted population-genetic inputs and exact command.
Figure_08	08h	Comparative locus-track panel.	NO_EXACT_MATCH	No exact locus-track generation code or panel-specific command was supplied.
Figure_08	08i	Regional human GWAS association panel.	NO_EXACT_MATCH	No exact regional-association plotting code was supplied.
Supplementary_Figure_12	12b	AGPAT3 multi-tissue locus tracks.	NO_EXACT_MATCH	The reusable track engine does not include the submitted AGPAT3 region or command.
Supplementary_Figure_13	13b-13c	Tissue-pair GO enrichment heatmaps for footprint-linked genes.	NO_MATCH	The supplied footprint-summary plot is panel 13a; no final tissue-pair GO heatmap script was identified.
Supplementary_Figure_14	14a-14j	Counts, proportions, overlaps, spectra, tissue sharing, networks, TSS distances, concordance and chromatin-state proportions of allele-specific signals.	NO_MATCH	The previously assigned motif-overlap and enrichment scripts do not reproduce the ten submitted summary panels.
Supplementary_Figure_16	16a-16b	Conservation comparisons.	NO_EXACT_MATCH	Conservation values can be prepared, but the submitted plotting code was not supplied.
Supplementary_Figure_16	16c	Three-class GWAS enrichment plot.	NO_EXACT_MATCH	The GWAS statistics table can be prepared, but the submitted plotting code was not supplied.
Supplementary_Figure_16	16d	E5 CRE transition composition.	NO_MATCH	No exact transition-composition plotting code was supplied.
Supplementary_Figure_17	17a-17c	Cross-species locus tracks.	NO_EXACT_MATCH	No submitted cross-species regions or panel-specific track commands were supplied.
Supplementary_Figure_18	18a-18g	Seven local human GWAS panels.	NO_EXACT_MATCH	The local association engine was supplied without the seven panel-specific traits, sites, regions and commands.
